,UserID,Age,Gender,Location,Income,Profession,Demographics,Platform,Total Time Spent,Video Category,Video Length,Time Spent On Video,Frequency,Satisfaction,Watch Reason,Watch Time,Addiction Level,Generation,Income Group
41,42,56,Male,India,52972,Students,Urban,TikTok,26,ASMR,3,25,Evening,4,Habit,2:00 PM,2,Gen X,Lower-Middle Income
42,43,35,Other,Indonesia,69733,Cashier,Rural,TikTok,292,Life Hacks,23,24,Morning,2,Entertainment,8:00 AM,0,Millenials,Middle Income
43,44,21,Female,Pakistan,61800,Waiting staff,Rural,Instagram,267,Gaming,27,28,Night,7,Entertainment,9:00 PM,5,Gen Z,Middle Income
44,45,42,Other,Philippines,25347,Labor/Worker,Urban,YouTube,72,Gaming,28,4,Evening,4,Boredom,2:00 PM,2,Millenials,Low Income
45,46,31,Female,Pakistan,79063,Waiting staff,Rural,Instagram,71,Comedy,26,20,Evening,4,Procrastination,2:00 PM,2,Millenials,Middle Income
46,47,26,Male,Vietnam,22643,Labor/Worker,Rural,YouTube,109,Trends,20,18,Afternoon,5,Procrastination,5:00 PM,3,Gen Z,Low Income
47,48,43,Male,Japan,60785,Students,Rural,TikTok,28,Pranks,28,25,Night,7,Entertainment,9:00 PM,5,Millenials,Middle Income
48,49,19,Female,India,38681,Students,Rural,Facebook,26,Trends,8,3,Evening,4,Boredom,2:00 PM,2,Gen Z,Lower-Middle Income
49,50,37,Male,United States,70026,Students,Urban,YouTube,255,Life Hacks,11,4,Afternoon,5,Procrastination,5:00 PM,3,Millenials,Middle Income
50,51,45,Female,United States,35892,Waiting staff,Rural,TikTok,260,Entertainment,16,14,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Low Income
51,52,64,Other,Mexico,67299,driver,Rural,TikTok,90,Entertainment,9,7,Evening,4,Entertainment,2:00 PM,2,Baby Boomers,Middle Income
52,53,24,Male,Germany,37073,Students,Rural,Facebook,48,Pranks,3,26,Evening,4,Boredom,2:00 PM,2,Gen Z,Low Income
53,54,61,Male,Vietnam,50682,driver,Rural,TikTok,45,Trends,5,8,Afternoon,5,Procrastination,5:00 PM,3,Baby Boomers,Lower-Middle Income
54,55,25,Other,India,34289,Cashier,Rural,TikTok,206,Life Hacks,20,24,Evening,4,Habit,2:00 PM,2,Gen Z,Low Income
55,56,64,Male,Japan,27927,Manager,Rural,YouTube,167,Life Hacks,14,16,Night,7,Boredom,9:00 PM,5,Baby Boomers,Low Income
56,57,52,Male,Indonesia,68330,Labor/Worker,Rural,YouTube,213,Jokes/Memes,28,20,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Middle Income
57,58,31,Male,United States,86707,Waiting staff,Rural,Facebook,205,Entertainment,26,15,Afternoon,5,Habit,5:00 PM,3,Millenials,Upper-Middle Income
58,59,34,Male,Vietnam,97454,Waiting staff,Rural,Facebook,225,Vlogs,15,7,Night,7,Entertainment,9:00 PM,5,Millenials,High Income
59,60,53,Male,Japan,85428,driver,Urban,TikTok,294,Life Hacks,6,26,Night,7,Habit,9:00 PM,5,Gen X,Upper-Middle Income
60,61,57,Female,Germany,70601,driver,Rural,YouTube,205,Entertainment,27,17,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Middle Income
61,62,21,Other,United States,97465,Waiting staff,Urban,Facebook,161,Jokes/Memes,26,22,Afternoon,5,Procrastination,5:00 PM,3,Gen Z,High Income
62,63,19,Male,United States,22539,Waiting staff,Rural,Facebook,23,Entertainment,4,22,Evening,4,Habit,2:00 PM,2,Gen Z,Low Income
63,64,23,Male,Vietnam,42669,Students,Rural,Instagram,155,ASMR,8,22,Evening,4,Boredom,2:00 PM,2,Gen Z,Lower-Middle Income
64,65,59,Male,United States,90968,Teacher,Rural,Facebook,66,Life Hacks,19,12,Afternoon,5,Entertainment,5:00 PM,3,Gen X,High Income
65,66,21,Other,India,40644,Teacher,Rural,TikTok,220,Life Hacks,27,18,Afternoon,5,Habit,5:00 PM,3,Gen Z,Lower-Middle Income
66,67,46,Other,India,38745,Cashier,Rural,YouTube,277,Gaming,5,24,Evening,4,Boredom,2:00 PM,2,Gen X,Lower-Middle Income
67,68,35,Male,Mexico,48228,Students,Rural,Facebook,219,Trends,13,14,Evening,4,Boredom,2:00 PM,2,Millenials,Lower-Middle Income
68,69,43,Male,Vietnam,54521,Artist,Rural,Instagram,26,Life Hacks,16,15,Night,7,Habit,9:00 PM,5,Millenials,Lower-Middle Income
69,70,61,Female,Mexico,46928,Students,Rural,YouTube,295,Gaming,1,15,Evening,4,Habit,2:00 PM,2,Baby Boomers,Lower-Middle Income
70,71,51,Female,Vietnam,38322,Students,Rural,Facebook,212,Pranks,13,5,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Low Income
71,72,27,Male,Indonesia,77714,Labor/Worker,Urban,Instagram,108,Life Hacks,22,16,Night,7,Boredom,9:00 PM,5,Gen Z,Middle Income
72,73,53,Male,Vietnam,82292,Engineer,Rural,Facebook,288,Comedy,11,5,Evening,4,Entertainment,2:00 PM,2,Gen X,Upper-Middle Income
73,74,31,Female,Germany,49055,Waiting staff,Urban,YouTube,218,Jokes/Memes,21,2,Night,7,Boredom,9:00 PM,5,Millenials,Lower-Middle Income
74,75,48,Other,Philippines,62891,driver,Rural,YouTube,138,Jokes/Memes,8,20,Night,7,Procrastination,9:00 PM,5,Gen X,Middle Income
75,76,32,Male,United States,26588,Labor/Worker,Rural,YouTube,297,Jokes/Memes,25,28,Night,7,Habit,9:00 PM,5,Millenials,Low Income
76,77,25,Female,India,26304,driver,Rural,TikTok,261,Pranks,8,25,Night,7,Procrastination,9:00 PM,5,Gen Z,Low Income
77,78,31,Male,India,27345,Labor/Worker,Rural,Facebook,274,Life Hacks,24,9,Afternoon,5,Procrastination,5:00 PM,3,Millenials,Low Income
78,79,40,Other,Japan,49300,Labor/Worker,Rural,TikTok,280,Vlogs,28,22,Evening,4,Boredom,2:00 PM,2,Millenials,Lower-Middle Income
79,80,57,Male,United States,44259,driver,Rural,YouTube,197,Jokes/Memes,14,27,Night,7,Habit,9:00 PM,5,Gen X,Lower-Middle Income
80,81,38,Male,United States,35352,driver,Rural,Instagram,223,Gaming,13,9,Evening,4,Habit,2:00 PM,2,Millenials,Low Income
81,82,33,Male,Pakistan,53365,Labor/Worker,Urban,Facebook,292,Jokes/Memes,3,4,Afternoon,5,Entertainment,5:00 PM,3,Millenials,Lower-Middle Income
82,83,62,Male,Philippines,39446,Students,Rural,TikTok,220,Pranks,4,15,Evening,4,Entertainment,2:00 PM,2,Baby Boomers,Lower-Middle Income
83,84,35,Male,India,22336,Waiting staff,Urban,Facebook,85,Entertainment,27,11,Afternoon,5,Boredom,5:00 PM,3,Millenials,Low Income
84,85,64,Male,Barzil,82032,Labor/Worker,Urban,Instagram,157,Jokes/Memes,20,1,Night,7,Boredom,9:00 PM,5,Baby Boomers,Upper-Middle Income
85,86,41,Other,India,95415,Waiting staff,Rural,TikTok,222,Life Hacks,15,18,Night,7,Entertainment,9:00 PM,5,Millenials,High Income
86,87,43,Female,Indonesia,27521,Engineer,Rural,YouTube,118,Trends,15,29,Night,7,Habit,9:00 PM,5,Millenials,Low Income
87,88,42,Other,United States,91707,Manager,Rural,TikTok,138,Life Hacks,27,1,Night,7,Entertainment,9:00 PM,5,Millenials,High Income
88,89,62,Female,United States,43481,Students,Rural,Facebook,19,Jokes/Memes,21,8,Night,7,Boredom,9:00 PM,5,Baby Boomers,Lower-Middle Income
89,90,58,Female,Germany,38474,Waiting staff,Rural,Facebook,56,Jokes/Memes,13,25,Night,7,Entertainment,9:00 PM,5,Gen X,Low Income
90,91,46,Male,United States,66760,Waiting staff,Rural,Facebook,105,Jokes/Memes,9,16,Afternoon,5,Boredom,5:00 PM,3,Gen X,Middle Income
91,92,32,Male,India,75718,Students,Rural,Facebook,112,Jokes/Memes,28,26,Night,7,Boredom,9:00 PM,5,Millenials,Middle Income
92,93,62,Female,India,64629,Students,Rural,YouTube,155,Trends,25,28,Night,7,Habit,9:00 PM,5,Baby Boomers,Middle Income
93,94,18,Male,India,65232,driver,Rural,TikTok,36,Vlogs,10,22,Night,7,Boredom,9:00 PM,5,Gen Z,Middle Income
94,95,42,Other,Vietnam,87169,Manager,Rural,YouTube,229,Life Hacks,29,18,Evening,4,Habit,2:00 PM,2,Millenials,Upper-Middle Income
95,96,24,Other,Pakistan,70669,Students,Rural,YouTube,27,Jokes/Memes,12,22,Morning,2,Habit,8:00 AM,0,Gen Z,Middle Income
96,97,26,Male,United States,98021,Students,Urban,YouTube,176,ASMR,14,9,Evening,4,Boredom,2:00 PM,2,Gen Z,High Income
97,98,41,Female,United States,89184,Waiting staff,Urban,Facebook,91,Jokes/Memes,1,12,Afternoon,5,Entertainment,5:00 PM,3,Millenials,Upper-Middle Income
98,99,18,Male,India,67945,Engineer,Rural,Facebook,81,ASMR,14,19,Night,7,Entertainment,9:00 PM,5,Gen Z,Middle Income
99,100,61,Female,Mexico,33140,Waiting staff,Urban,Facebook,263,Pranks,14,25,Evening,4,Boredom,2:00 PM,2,Baby Boomers,Low Income
100,101,25,Male,Germany,34357,Engineer,Rural,TikTok,171,Vlogs,8,18,Afternoon,5,Boredom,5:00 PM,3,Gen Z,Low Income
101,102,41,Male,Germany,88673,Waiting staff,Rural,Instagram,47,Jokes/Memes,16,27,Night,7,Boredom,9:00 PM,5,Millenials,Upper-Middle Income
102,103,28,Male,India,85633,Engineer,Urban,Facebook,210,Jokes/Memes,14,5,Night,7,Entertainment,9:00 PM,5,Millenials,Upper-Middle Income
103,104,34,Female,Japan,96943,Engineer,Rural,TikTok,209,Gaming,1,27,Night,7,Habit,9:00 PM,5,Millenials,High Income
104,105,25,Female,India,98258,driver,Urban,Facebook,264,Gaming,16,2,Night,7,Habit,9:00 PM,5,Gen Z,High Income
105,106,52,Male,Philippines,32924,Labor/Worker,Rural,Facebook,188,Comedy,18,7,Evening,4,Entertainment,2:00 PM,2,Gen X,Low Income
106,107,52,Female,Japan,89286,Labor/Worker,Urban,YouTube,44,Jokes/Memes,7,27,Night,7,Habit,9:00 PM,5,Gen X,Upper-Middle Income
107,108,50,Male,Barzil,94071,Waiting staff,Rural,YouTube,91,Pranks,15,10,Night,7,Entertainment,9:00 PM,5,Gen X,High Income
108,109,22,Male,Mexico,77326,Artist,Rural,YouTube,229,Gaming,24,15,Evening,4,Entertainment,2:00 PM,2,Gen Z,Middle Income
109,110,59,Male,Germany,50651,Labor/Worker,Rural,TikTok,167,Jokes/Memes,17,25,Night,7,Procrastination,9:00 PM,5,Gen X,Lower-Middle Income
110,111,56,Female,India,90202,Waiting staff,Rural,Instagram,13,Jokes/Memes,19,7,Night,7,Entertainment,9:00 PM,5,Gen X,High Income
111,112,58,Female,Barzil,68777,Labor/Worker,Rural,Instagram,176,Pranks,23,28,Evening,4,Habit,2:00 PM,2,Gen X,Middle Income
112,113,45,Female,Vietnam,36994,Labor/Worker,Rural,TikTok,213,Jokes/Memes,13,5,Evening,4,Procrastination,2:00 PM,2,Gen X,Low Income
113,114,24,Male,Indonesia,87263,Teacher,Rural,Facebook,203,Jokes/Memes,9,15,Evening,4,Boredom,2:00 PM,2,Gen Z,Upper-Middle Income
114,115,26,Male,United States,79634,Students,Rural,TikTok,244,Entertainment,24,20,Night,7,Habit,9:00 PM,5,Gen Z,Middle Income
115,116,25,Male,Barzil,30800,Students,Urban,Facebook,215,Life Hacks,24,28,Night,7,Boredom,9:00 PM,5,Gen Z,Low Income
116,117,29,Female,Philippines,57823,Cashier,Rural,TikTok,159,Entertainment,15,20,Evening,4,Habit,2:00 PM,2,Millenials,Lower-Middle Income
117,118,51,Male,United States,83878,driver,Rural,TikTok,168,Life Hacks,25,15,Evening,4,Habit,2:00 PM,2,Gen X,Upper-Middle Income
118,119,50,Other,India,38708,Labor/Worker,Rural,TikTok,288,Life Hacks,26,10,Evening,4,Habit,2:00 PM,2,Gen X,Lower-Middle Income
119,120,40,Female,Pakistan,32819,Engineer,Rural,Instagram,175,Gaming,3,24,Night,7,Habit,9:00 PM,5,Millenials,Low Income
120,121,41,Other,Vietnam,94905,Labor/Worker,Rural,YouTube,77,Life Hacks,24,26,Night,7,Habit,9:00 PM,5,Millenials,High Income
121,122,54,Other,Barzil,83870,Labor/Worker,Rural,TikTok,97,Gaming,1,29,Night,7,Habit,9:00 PM,5,Gen X,Upper-Middle Income
122,123,52,Female,Mexico,29283,Artist,Urban,Instagram,226,Trends,16,26,Evening,4,Habit,2:00 PM,2,Gen X,Low Income
123,124,61,Other,India,50573,Waiting staff,Rural,YouTube,10,Comedy,8,14,Evening,4,Boredom,2:00 PM,2,Baby Boomers,Lower-Middle Income
124,125,57,Male,United States,98707,driver,Rural,YouTube,144,ASMR,29,26,Night,7,Boredom,9:00 PM,5,Gen X,High Income
125,126,39,Female,India,50933,driver,Rural,TikTok,194,Gaming,23,26,Evening,4,Entertainment,2:00 PM,2,Millenials,Lower-Middle Income
126,127,44,Female,Barzil,25774,Cashier,Rural,Facebook,149,Pranks,13,10,Night,7,Habit,9:00 PM,5,Gen X,Low Income
127,128,52,Male,Mexico,92055,Labor/Worker,Rural,Facebook,115,Pranks,8,17,Night,7,Boredom,9:00 PM,5,Gen X,High Income
128,129,18,Other,Philippines,30983,Waiting staff,Rural,Facebook,142,Vlogs,17,21,Afternoon,5,Entertainment,5:00 PM,3,Gen Z,Low Income
129,130,52,Female,Indonesia,38133,Students,Urban,TikTok,117,Jokes/Memes,22,14,Evening,4,Habit,2:00 PM,2,Gen X,Low Income
130,131,54,Male,United States,34939,driver,Urban,Facebook,187,Vlogs,23,2,Evening,4,Habit,2:00 PM,2,Gen X,Low Income
131,132,64,Male,Indonesia,20781,Artist,Rural,Instagram,155,Life Hacks,14,16,Night,7,Procrastination,9:00 PM,5,Baby Boomers,Low Income
132,133,31,Female,India,76700,Waiting staff,Rural,Instagram,83,ASMR,27,13,Night,7,Entertainment,9:00 PM,5,Millenials,Middle Income
133,134,20,Male,India,47624,Students,Rural,Instagram,117,Vlogs,21,27,Afternoon,5,Entertainment,5:00 PM,3,Gen Z,Lower-Middle Income
134,135,18,Female,Barzil,26823,driver,Rural,Instagram,131,Entertainment,21,9,Afternoon,5,Procrastination,5:00 PM,3,Gen Z,Low Income
135,136,22,Female,Barzil,38489,Manager,Rural,YouTube,26,Life Hacks,7,7,Evening,4,Entertainment,2:00 PM,2,Gen Z,Low Income
136,137,43,Female,Pakistan,59961,Cashier,Rural,Instagram,205,Trends,27,16,Night,7,Boredom,9:00 PM,5,Millenials,Middle Income
137,138,31,Female,Germany,49118,Labor/Worker,Rural,Facebook,261,Entertainment,15,10,Night,7,Entertainment,9:00 PM,5,Millenials,Lower-Middle Income
138,139,56,Male,Pakistan,42263,Students,Rural,TikTok,128,Life Hacks,16,24,Morning,2,Boredom,8:00 AM,0,Gen X,Lower-Middle Income
139,140,44,Male,India,33565,Students,Rural,Facebook,171,Life Hacks,19,22,Afternoon,5,Procrastination,5:00 PM,3,Gen X,Low Income
140,141,26,Female,India,40354,Students,Rural,Instagram,207,Jokes/Memes,6,9,Afternoon,5,Habit,5:00 PM,3,Gen Z,Lower-Middle Income
141,142,32,Male,India,62951,Engineer,Urban,YouTube,54,Gaming,23,22,Evening,4,Procrastination,2:00 PM,2,Millenials,Middle Income
142,143,32,Female,Pakistan,43648,Engineer,Rural,Instagram,188,Life Hacks,1,23,Evening,4,Habit,2:00 PM,2,Millenials,Lower-Middle Income
143,144,43,Female,Mexico,70729,Engineer,Urban,TikTok,53,Pranks,12,7,Night,7,Entertainment,9:00 PM,5,Millenials,Middle Income
144,145,59,Male,Mexico,61971,Waiting staff,Rural,Facebook,280,Life Hacks,18,16,Morning,2,Entertainment,8:00 AM,0,Gen X,Middle Income
145,146,30,Other,India,38658,Engineer,Rural,TikTok,87,Life Hacks,16,9,Evening,4,Habit,2:00 PM,2,Millenials,Low Income
146,147,49,Male,Vietnam,41253,Waiting staff,Rural,TikTok,187,Life Hacks,12,27,Night,7,Procrastination,9:00 PM,5,Gen X,Lower-Middle Income
147,148,56,Male,Germany,84166,Labor/Worker,Urban,TikTok,12,Jokes/Memes,20,24,Morning,2,Procrastination,8:00 AM,0,Gen X,Upper-Middle Income
148,149,49,Other,Mexico,68563,Engineer,Rural,Facebook,223,Vlogs,13,29,Evening,4,Boredom,2:00 PM,2,Gen X,Middle Income
149,150,21,Male,Japan,46390,Cashier,Rural,Instagram,83,Trends,8,17,Evening,4,Habit,2:00 PM,2,Gen Z,Lower-Middle Income
150,151,47,Other,United States,71578,Artist,Urban,TikTok,60,Entertainment,27,20,Afternoon,5,Habit,5:00 PM,3,Gen X,Middle Income
151,152,54,Male,India,99025,driver,Rural,Facebook,76,Gaming,29,7,Night,7,Habit,9:00 PM,5,Gen X,High Income
152,153,40,Male,India,52658,Students,Rural,YouTube,102,Life Hacks,26,11,Evening,4,Entertainment,2:00 PM,2,Millenials,Lower-Middle Income
153,154,56,Other,India,26852,Waiting staff,Urban,Facebook,185,Trends,22,8,Afternoon,5,Habit,5:00 PM,3,Gen X,Low Income
154,155,62,Male,United States,22551,Students,Urban,YouTube,154,Entertainment,1,7,Night,7,Boredom,9:00 PM,5,Baby Boomers,Low Income
155,156,32,Male,United States,91947,Students,Urban,Facebook,16,Vlogs,26,28,Afternoon,5,Boredom,5:00 PM,3,Millenials,High Income
156,157,60,Female,Japan,81001,Students,Rural,Instagram,278,Pranks,21,19,Night,7,Boredom,9:00 PM,5,Baby Boomers,Upper-Middle Income
157,158,46,Other,Pakistan,69159,driver,Rural,TikTok,13,Pranks,7,20,Night,7,Boredom,9:00 PM,5,Gen X,Middle Income
158,159,53,Female,Vietnam,71707,Manager,Rural,Instagram,147,Jokes/Memes,15,12,Evening,4,Procrastination,2:00 PM,2,Gen X,Middle Income
159,160,30,Other,India,53243,Students,Rural,Facebook,240,Jokes/Memes,29,7,Evening,4,Entertainment,2:00 PM,2,Millenials,Lower-Middle Income
160,161,49,Male,India,41800,Waiting staff,Rural,TikTok,97,Life Hacks,22,8,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Lower-Middle Income
161,162,24,Male,Indonesia,95939,Labor/Worker,Urban,YouTube,26,Trends,13,7,Afternoon,5,Habit,5:00 PM,3,Gen Z,High Income
162,163,39,Other,Japan,77828,Students,Rural,Facebook,61,Gaming,13,6,Night,7,Boredom,9:00 PM,5,Millenials,Middle Income
163,164,45,Male,India,27239,Manager,Rural,TikTok,143,Entertainment,28,25,Evening,4,Entertainment,2:00 PM,2,Gen X,Low Income
164,165,19,Male,Japan,26710,Cashier,Urban,YouTube,220,Jokes/Memes,9,9,Evening,4,Boredom,2:00 PM,2,Gen Z,Low Income
165,166,59,Male,Japan,41384,Engineer,Urban,YouTube,228,Entertainment,24,27,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Lower-Middle Income
166,167,62,Male,Philippines,41038,Labor/Worker,Rural,Instagram,214,Gaming,15,13,Evening,4,Habit,2:00 PM,2,Baby Boomers,Lower-Middle Income
167,168,23,Male,Japan,60846,Students,Urban,Facebook,220,Gaming,4,7,Evening,4,Entertainment,2:00 PM,2,Gen Z,Middle Income
168,169,45,Female,United States,87821,Waiting staff,Rural,YouTube,286,Trends,13,8,Afternoon,5,Habit,5:00 PM,3,Gen X,Upper-Middle Income
169,170,45,Female,Philippines,57991,Labor/Worker,Rural,TikTok,33,Trends,27,22,Afternoon,5,Entertainment,5:00 PM,3,Gen X,Lower-Middle Income
170,171,61,Male,Japan,99057,driver,Rural,YouTube,13,Life Hacks,12,17,Afternoon,5,Habit,5:00 PM,3,Baby Boomers,High Income
171,172,61,Male,Germany,26971,Students,Rural,YouTube,161,Jokes/Memes,5,17,Night,7,Entertainment,9:00 PM,5,Baby Boomers,Low Income
172,173,37,Female,United States,49139,Cashier,Rural,Instagram,268,Entertainment,7,16,Night,7,Habit,9:00 PM,5,Millenials,Lower-Middle Income
173,174,47,Male,India,97067,Cashier,Rural,Instagram,177,Gaming,8,22,Evening,4,Entertainment,2:00 PM,2,Gen X,High Income
174,175,28,Male,Philippines,57711,Students,Urban,TikTok,185,ASMR,5,2,Night,7,Entertainment,9:00 PM,5,Millenials,Lower-Middle Income
175,176,45,Female,Indonesia,26530,Teacher,Urban,Instagram,65,Life Hacks,9,8,Evening,4,Habit,2:00 PM,2,Gen X,Low Income
176,177,42,Male,United States,31116,Waiting staff,Rural,YouTube,117,ASMR,14,17,Morning,2,Boredom,8:00 AM,0,Millenials,Low Income
177,178,56,Female,Indonesia,85794,Labor/Worker,Rural,YouTube,150,Trends,26,13,Evening,4,Boredom,2:00 PM,2,Gen X,Upper-Middle Income
178,179,50,Male,India,20282,driver,Urban,Instagram,164,Trends,12,18,Afternoon,5,Habit,5:00 PM,3,Gen X,Low Income
179,180,18,Other,Indonesia,99473,Waiting staff,Urban,YouTube,271,Vlogs,4,24,Afternoon,5,Entertainment,5:00 PM,3,Gen Z,High Income
180,181,44,Female,India,21898,Engineer,Rural,YouTube,282,Life Hacks,20,28,Evening,4,Procrastination,2:00 PM,2,Gen X,Low Income
181,182,30,Female,India,24135,driver,Rural,TikTok,241,Life Hacks,29,22,Evening,4,Procrastination,2:00 PM,2,Millenials,Low Income
182,183,58,Male,Philippines,26629,Labor/Worker,Rural,Instagram,250,Jokes/Memes,8,28,Evening,4,Habit,2:00 PM,2,Gen X,Low Income
